PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI
0.349368,0.503698,0.018414,0.159869,0.164616,0.406397,0.185824,0.617069,0.313883,0.297735,0.178456,0.600318,?
0.349368,0.503698,0.032564,0.188316,0.179718,0.406397,0.32567,0.467019,0.332504,0.358414,0.329007,0.159236,?
0.349368,0.503698,0.340274,0.071676,0,0.406397,0.430766,0.207704,0.041851,0,0,0,?
0.349368,0.503698,0.011242,0.172818,0.166017,0.406397,0.114943,0.726334,0.438975,0.011327,0.001298,0.214968,?
0.349368,0.503698,0.031208,0.22135,0.228623,0.406397,0.312261,0.962487,0.424226,0.028317,0.001622,0.320064,?
0.417777,0.503698,0.045551,0.232667,0.240024,0.406397,0.454023,0.646777,0.435933,0,0,0,294
0.302254,0.503698,0.05001,0.217985,0.233123,0.406397,0.498084,0.821249,0.493455,0,0,0,149
0.545996,0.503698,0.026943,0.185563,0.187519,0.406397,0.270115,0.903072,0.517515,0,0,0.52707,256
0.274423,0.503698,0.042838,0.106444,0.10391,0.406397,0.427203,0.823766,0.619838,0.311489,0.369565,0.128981,292
0.349368,0.503698,0.340274,0.291096,0.323124,0.406397,0.430766,0.364853,0.31786,0.26544,0.282316,0.488874,?
0.349368,0.503698,0.340274,0.291096,0.323124,0.406397,0.430766,0.364853,0.31786,0.26544,0.282316,0.488874,?
0.349368,0.503698,0.340274,0.291096,0.323124,0.406397,0.430766,0.364853,0.31786,0.26544,0.282316,0.488874,?
0.316559,0.503698,0.069006,0.171289,0.209221,0.406397,0.685824,0.715005,0.280881,0.217638,0.051265,0.210191,?
0.349368,0.503698,0.340274,0.291096,0.323124,0.406397,0.430766,0.364853,0.31786,0.26544,0.282316,0.488874,?
0.370666,0.503698,0.067649,0.171493,0.20322,0.406397,0.672414,0.761329,0.526825,0.319579,0.259896,0.100318,190
0.812231,0.503698,0.075596,0.170167,0.209721,0.406397,0.750958,0.661631,0.341999,0.313916,0.349773,0.154459,?
0.626691,0.503698,0.081605,0.212582,0.250225,0.406397,0.810345,0.893756,0.328632,0.489482,0.514276,0.267516,303
0.316248,0.503698,0.067843,0.142945,0.175918,0.406397,0.67433,0.202417,0.180033,0,0,0.001592,126
0.579528,0.503698,0.075015,0.229405,0.251725,0.406397,0.745211,0.397784,0.287795,0,0,0,226
0.328272,0.503698,0.066292,0.135298,0.154415,0.406397,0.659004,0.623112,0.40201,0,0,0.19586,189
0.5007,0.503698,0.090134,0.162011,0.205321,0.406397,0.894636,0.991188,0.10896,0.000809,0,0.495223,240
0.337238,0.503698,0.060477,0.046595,0.067507,0.406397,0.601533,0.559668,0.29729,0.013754,0.001298,0.929936,120
0.367556,0.503698,0.079473,0.157626,0.192819,0.406397,0.789272,0.594914,0.147493,0.300971,0.26379,0.646497,152
0.277896,0.503698,0.081605,0.147023,0.180618,0.406397,0.810345,0.363041,0.420631,0.193366,0.207657,0.562102,176
0.235553,0.503698,0.082186,0.139886,0.171017,0.406397,0.816092,0.322508,0.662242,0.202265,0.193381,0.535032,167
0.338585,0.503698,0.012018,0.082178,0.085709,0.406397,0.122605,0.409617,0.073838,0.131877,0.140818,0.044586,105
0.291474,0.503698,0.011242,0.081668,0.085109,0.406397,0.114943,0.475579,0.057061,0.122977,0.12135,0.046178,101
0.249443,0.503698,0.012212,0.081464,0.085509,0.406397,0.124521,0.47709,0.073378,0.099515,0.153796,0.019108,93
0.173724,0.503698,0.013569,0.080343,0.085609,0.406397,0.137931,0.282981,0.09375,0.049353,0.124919,0.012739,67
0.162011,0.503698,0.010273,0.082484,0.084908,0.406397,0.105364,0.258056,0.068492,0.042071,0.074951,0.009554,60
0.249184,0.503698,0.012599,0.080445,0.084308,0.406397,0.128352,0.031219,0.057983,0.404531,0.705711,0.245223,?
0.295776,0.503698,0.010273,0.084319,0.084208,0.406397,0.105364,0.366062,0.023875,0.227346,0.471447,0.297771,90
0.179736,0.503698,0.001551,0.099103,0.078808,0.406397,0.019157,0.341893,0.044801,0.116505,0.169371,0.06051,78
0.151231,0.503698,0.000775,0.097471,0.077708,0.406397,0.011494,0.340886,0.046737,0.110841,0.11843,0.050955,48
0.154185,0.503698,0.002326,0.087989,0.079708,0.406397,0.02682,0.379406,0.049133,0.029126,0.034069,0.022293,53
0.310495,0.503698,0.003101,0.089417,0.081608,0.406397,0.034483,0.289023,0.025627,0.042071,0.039909,0.035032,91
0.0993,0.503698,0.029075,0.096248,0.09741,0.406397,0.291188,0.281722,0.042404,0.104369,0.106749,0.023885,70
0.349368,0.503698,0.340274,0.291096,0.323124,0.406397,0.430766,0.364853,0.31786,0.26544,0.282316,0.488874,?
0.473542,0.503698,0.100213,0.238989,0.286329,0.406397,0.994253,0.639476,0.057522,0.055825,0.040558,0.007962,227
0.334905,0.503698,0.09246,0.242863,0.286129,0.406397,0.917625,0.865055,0.228153,0.504854,0.390655,0.356688,213
0.267841,0.503698,0.036247,0.215538,0.230423,0.406397,0.362069,0.938318,0.613662,0.320388,0.360156,0.119427,188
0.282716,0.503698,0.044388,0.186786,0.206421,0.406397,0.442529,0.479355,0.39104,0.280744,0.332576,0.178344,114
0.240788,0.503698,0.02326,0.123267,0.133213,0.406397,0.233716,0.344663,0.567386,0.153722,0.146009,0.035032,143
0.349368,0.503698,0.340274,0.291096,0.323124,0.406397,0.430766,0.364853,0.31786,0.26544,0.282316,0.488874,?
0.349368,0.503698,0.340274,0.291096,0.323124,0.406397,0.430766,0.364853,0.31786,0.26544,0.282316,0.488874,?
0.349368,0.503698,0.340274,0.291096,0.323124,0.406397,0.430766,0.364853,0.31786,0.26544,0.282316,0.488874,?
0.349368,0.503698,0.340274,0.291096,0.323124,0.406397,0.430766,0.364853,0.31786,0.26544,0.282316,0.488874,?
0.349368,0.503698,0.340274,0.291096,0.323124,0.406397,0.430766,0.364853,0.31786,0.26544,0.282316,0.488874,?
0.349368,0.503698,0.340274,0.291096,0.323124,0.406397,0.430766,0.364853,0.31786,0.26544,0.282316,0.488874,?
0.349368,0.503698,0.340274,0.291096,0.323124,0.406397,0.430766,0.364853,0.31786,0.26544,0.282316,0.488874,?
