PM2.5,PM10,NO,NO2,NOx,NH3,CO,O3,AQI
67.450578,118.127103,0.97,15.69,16.46,23.483476,0.97,34.06,?
67.450578,118.127103,1.7,18.48,17.97,23.483476,1.7,36.08,?
67.450578,118.127103,17.57473,7.04,0,23.483476,2.248598,4.55,?
67.450578,118.127103,0.6,16.96,16.6,23.483476,0.6,47.63,?
67.450578,118.127103,1.63,21.72,22.86,23.483476,1.63,46.03,?
80.65,118.127103,2.37,22.83,24,23.483476,2.37,47.3,294
58.36,118.127103,2.6,21.39,23.31,23.483476,2.6,53.54,149
105.39,118.127103,1.41,18.21,18.75,23.483476,1.41,56.15,256
52.99,118.127103,2.23,10.45,10.39,23.483476,2.23,67.25,292
67.450578,118.127103,17.57473,28.560659,32.309123,23.483476,2.248598,34.49143,?
67.450578,118.127103,17.57473,28.560659,32.309123,23.483476,2.248598,34.49143,?
67.450578,118.127103,17.57473,28.560659,32.309123,23.483476,2.248598,34.49143,?
61.12,118.127103,3.58,16.81,20.92,23.483476,3.58,30.48,?
67.450578,118.127103,17.57473,28.560659,32.309123,23.483476,2.248598,34.49143,?
71.56,118.127103,3.51,16.83,20.32,23.483476,3.51,57.16,190
156.76,118.127103,3.92,16.7,20.97,23.483476,3.92,37.11,?
120.96,118.127103,4.23,20.86,25.02,23.483476,4.23,35.66,303
61.06,118.127103,3.52,14.03,17.59,23.483476,3.52,19.54,126
111.86,118.127103,3.89,22.51,25.17,23.483476,3.89,31.23,226
63.38,118.127103,3.44,13.28,15.44,23.483476,3.44,43.62,189
96.65,118.127103,4.67,15.9,20.53,23.483476,4.67,11.83,240
65.11,118.127103,3.14,4.58,6.75,23.483476,3.14,32.26,120
70.96,118.127103,4.12,15.47,19.28,23.483476,4.12,16.01,152
53.66,118.127103,4.23,14.43,18.06,23.483476,4.23,45.64,176
45.49,118.127103,4.26,13.73,17.1,23.483476,4.26,71.85,167
65.37,118.127103,0.64,8.07,8.57,23.483476,0.64,8.02,105
56.28,118.127103,0.6,8.02,8.51,23.483476,0.6,6.2,101
48.17,118.127103,0.65,8,8.55,23.483476,0.65,7.97,93
33.56,118.127103,0.72,7.89,8.56,23.483476,0.72,10.18,67
31.3,118.127103,0.55,8.1,8.49,23.483476,0.55,7.44,60
48.12,118.127103,0.67,7.9,8.43,23.483476,0.67,6.3,?
57.11,118.127103,0.55,8.28,8.42,23.483476,0.55,2.6,90
34.72,118.127103,0.1,9.73,7.88,23.483476,0.1,4.87,78
29.22,118.127103,0.06,9.57,7.77,23.483476,0.06,5.08,48
29.79,118.127103,0.14,8.64,7.97,23.483476,0.14,5.34,53
59.95,118.127103,0.18,8.78,8.16,23.483476,0.18,2.79,91
19.2,118.127103,1.52,9.45,9.74,23.483476,1.52,4.61,70
67.450578,118.127103,17.57473,28.560659,32.309123,23.483476,2.248598,34.49143,?
91.41,118.127103,5.19,23.45,28.63,23.483476,5.19,6.25,227
64.66,118.127103,4.79,23.83,28.61,23.483476,4.79,24.76,213
51.72,118.127103,1.89,21.15,23.04,23.483476,1.89,66.58,188
54.59,118.127103,2.31,18.33,20.64,23.483476,2.31,42.43,114
46.5,118.127103,1.22,12.1,13.32,23.483476,1.22,61.56,143
67.450578,118.127103,17.57473,28.560659,32.309123,23.483476,2.248598,34.49143,?
67.450578,118.127103,17.57473,28.560659,32.309123,23.483476,2.248598,34.49143,?
67.450578,118.127103,17.57473,28.560659,32.309123,23.483476,2.248598,34.49143,?
67.450578,118.127103,17.57473,28.560659,32.309123,23.483476,2.248598,34.49143,?
67.450578,118.127103,17.57473,28.560659,32.309123,23.483476,2.248598,34.49143,?
67.450578,118.127103,17.57473,28.560659,32.309123,23.483476,2.248598,34.49143,?
67.450578,118.127103,17.57473,28.560659,32.309123,23.483476,2.248598,34.49143,?
67.450578,118.127103,17.57473,28.560659,32.309123,23.483476,2.248598,34.49143,?
67.450578,118.127103,17.57473,28.560659,32.309123,23.483476,2.248598,34.49143,?
67.450578,118.127103,17.57473,28.560659,32.309123,23.483476,2.248598,34.49143,?
67.450578,118.127103,17.57473,28.560659,32.309123,23.483476,2.248598,34.49143,?
67.450578,118.127103,17.57473,28.560659,32.309123,23.483476,2.248598,34.49143,?
67.450578,118.127103,17.57473,28.560659,32.309123,23.483476,2.248598,34.49143,?
67.450578,118.127103,17.57473,28.560659,32.309123,23.483476,2.248598,34.49143,?
67.450578,118.127103,17.57473,28.560659,32.309123,23.483476,2.248598,34.49143,?
67.450578,118.127103,17.57473,28.560659,32.309123,23.483476,2.248598,34.49143,?
67.450578,118.127103,17.57473,28.560659,32.309123,23.483476,2.248598,34.49143,?
67.450578,118.127103,17.57473,28.560659,32.309123,23.483476,2.248598,34.49143,?
67.450578,118.127103,17.57473,28.560659,32.309123,23.483476,2.248598,34.49143,?
67.450578,118.127103,17.57473,28.560659,32.309123,23.483476,2.248598,34.49143,?
67.450578,118.127103,17.57473,28.560659,32.309123,23.483476,2.248598,34.49143,?
67.450578,118.127103,17.57473,28.560659,32.309123,23.483476,2.248598,34.49143,?
67.450578,118.127103,17.57473,28.560659,32.309123,23.483476,2.248598,34.49143,?
67.450578,118.127103,17.57473,28.560659,32.309123,23.483476,2.248598,34.49143,?
67.450578,118.127103,17.57473,28.560659,32.309123,23.483476,2.248598,34.49143,?
67.450578,118.127103,17.57473,28.560659,32.309123,23.483476,2.248598,34.49143,?
67.450578,118.127103,17.57473,28.560659,32.309123,23.483476,2.248598,34.49143,?
67.450578,118.127103,17.57473,28.560659,32.309123,23.483476,2.248598,34.49143,?
67.450578,118.127103,17.57473,28.560659,32.309123,23.483476,2.248598,34.49143,?
67.450578,118.127103,17.57473,28.560659,32.309123,23.483476,2.248598,34.49143,?
67.450578,118.127103,17.57473,28.560659,32.309123,23.483476,2.248598,34.49143,?
67.450578,118.127103,17.57473,28.560659,32.309123,23.483476,2.248598,34.49143,?
67.450578,118.127103,17.57473,28.560659,32.309123,23.483476,2.248598,34.49143,?
67.450578,118.127103,17.57473,28.560659,32.309123,23.483476,2.248598,34.49143,?
67.450578,118.127103,17.57473,28.560659,32.309123,23.483476,2.248598,34.49143,?
67.450578,118.127103,17.57473,28.560659,32.309123,23.483476,2.248598,34.49143,?
67.450578,118.127103,17.57473,28.560659,32.309123,23.483476,2.248598,34.49143,?
67.450578,118.127103,17.57473,28.560659,32.309123,23.483476,2.248598,34.49143,?
67.450578,118.127103,17.57473,28.560659,32.309123,23.483476,2.248598,34.49143,?
67.450578,118.127103,17.57473,28.560659,32.309123,23.483476,2.248598,34.49143,?
67.450578,118.127103,17.57473,28.560659,32.309123,23.483476,2.248598,34.49143,?
67.450578,118.127103,17.57473,28.560659,32.309123,23.483476,2.248598,34.49143,?
67.450578,118.127103,17.57473,28.560659,32.309123,23.483476,2.248598,34.49143,?
67.450578,118.127103,17.57473,28.560659,32.309123,23.483476,2.248598,34.49143,?
